taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors,full_primary_donor,full_primary_donor_date,full_primary_donor_gap_days,full_primary_donor_borrowed_trait_count,primary_donor_support,primary_donor_nonempty_support,primary_donor_vote_count,primary_donor_nonempty_vote_count,primary_donor_in_full_solution,primary_donor_matches_full_primary,full_primary_donor_support,primary_donor_vote_breakdown
mamba,2023-12-01,2023-12-01,exact_day,10,45,glm,2021-03-18,988,,2,37,8,4.00,3.70,8.00,15.70,15.70,0.00,stack_topology|state_update_rule|attention_family|attention_projection|kv_layout|attention_pattern|positional_encoding|has_aux_silu_gate,llama:bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_lora_present|laurel|modality|norm_scheme|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap;phi:altup|attention_output_gating|dual_attention_modules|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_reuse_attention|lm_head_bias|ngram_memory|output_head_connection|q_lora_present|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|window_schedule_detail,llama,2023-02-27,277,20,0.6500,0.6500,13,20,0,0,0.2000,glm:13;llama:4;phi:2;qwen:1
mixtral,2023-12-11,2023-12-11,exact_day,11,60,llama,2023-02-27,287,31,2,54,6,4.00,5.40,6.00,15.40,15.40,0.00,kv_layout|has_moe|moe_distribution|moe_schedule_type|moe_subtype|router_activation,llama:altup|attention_family|bitlinear_weights|block_norm_variant|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|rope_partition_detail|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|tie_embeddings_configurable|uses_logit_softcap;nemotron:attention_output_gating|attention_pattern|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|ffn_core|has_shared_expert|laurel|ngram_memory|output_head_connection|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope|zero_expert_option,llama,2023-02-27,287,31,0.5500,0.5500,11,20,1,1,0.5500,llama:11;plamo:6;nemotron:2;glm:1
deepseek,2024-01-08,2024-01-08,exact_day,12,62,mixtral,2023-12-11,28,55,2,58,4,4.00,5.80,4.00,13.80,13.80,0.00,moe_distribution|moe_schedule_type|has_shared_expert|shared_branch_merge_mode,mixtral:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option;phi:kv_layout|output_head_connection|tie_embeddings_configurable,mixtral,2023-12-11,28,55,0.9500,0.9500,19,20,1,1,0.9500,mixtral:19;qwen:1
phixtral,2024-01-08,2024-01-08,exact_day,12,60,mixtral,2023-12-11,28,6,2,57,3,4.00,5.70,3.00,12.70,12.70,0.00,kv_layout|residual_scheme|ffn_activation_core,gpt_neox:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option;mixtral:has_moe|moe_distribution|moe_schedule_type|moe_subtype|projection_bias_scheme|router_activation,gpt_neox,2022-04-14,634,51,0.7500,0.7500,15,20,1,0,0.2500,mixtral:15;gpt_neox:5
internlm2,2024-01-17,2024-01-17,exact_day,14,50,plamo,2023-09-28,111,24,2,48,2,4.00,4.80,2.00,10.80,11.50,0.70,attention_projection|positional_encoding,nemotron:attention_family|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail;plamo:altup|attention_output_gating|attention_pattern|block_norm_variant|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|modality|ngram_memory|norm_scheme|optional_nope|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|stack_topology|tie_embeddings_default|windowed_rope_scope,nemotron,2023-11-14,64,24,0.3500,0.3500,7,20,1,0,0.2500,plamo:7;mixtral:5;nemotron:5;llama:2;mamba:1
minicpm,2024-02-01,2024-02-01,exact_day,15,50,llama,2023-02-27,339,30,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,residual_update_rule,llama:attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_softcap;phi:altup|attention_pattern|attention_projection|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|kv_reuse_attention|ngram_memory|output_head_connection|q_lora_present|rope_partition_detail|secondary_token_mixer|stack_topology|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,llama,2023-02-27,339,30,0.2000,0.2000,4,20,1,1,0.2000,deepseek:4;internlm2:4;llama:4;mixtral:4;nemotron:3;glm:1
olmo,2024-02-01,2024-02-01,exact_day,15,50,plamo,2023-09-28,126,44,1,44,6,2.00,4.40,6.00,12.40,12.40,0.00,attention_family|attention_projection|norm_scheme|block_norm_variant|ffn_core|ffn_projection_style,plamo:altup|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,plamo,2023-09-28,126,44,0.8000,0.8000,16,20,1,1,0.8000,plamo:16;phixtral:2;mamba:1;phi:1
gemma,2024-02-21,2024-02-21,exact_day,17,50,glm,2021-03-18,1070,,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,norm_scheme|block_norm_variant|ffn_activation_core,llama:altup|attention_family|attention_output_gating|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|rglru_recurrence|rope_partition_detail|secondary_token_mixer|stack_topology|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope;olmo:attention_pattern|bitlinear_weights|conv_on_kv|has_aux_relu2_gate|hybrid_block_schedule|kv_reuse_attention|modality|ngram_memory|optional_nope|qk_norm|residual_update_rule|rope_parameterization|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail,llama,2023-02-27,359,30,0.3500,0.3500,7,20,0,0,0.0500,glm:7;stablelm:5;gpt2:2;gpt_bigcode:2;plamo:2;deepseek:1;llama:1
bitnet,2024-02-27,2024-02-27,exact_day,18,50,llama,2023-02-27,365,46,1,46,4,2.00,4.60,4.00,10.60,10.60,0.00,attention_pattern|window_schedule_detail|ffn_activation_core|bitlinear_weights,llama:altup|attention_family|attention_output_gating|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,llama,2023-02-27,365,46,0.6500,0.6500,13,20,1,1,0.6500,llama:13;glm:2;minicpm:2;mixtral:2;internlm2:1
starcoder2,2024-02-28,2024-02-28,exact_day,19,50,phi,2023-06-15,258,,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,lm_head_bias,gpt_bigcode:altup|attention_family|block_norm_variant|chunked_kv_cache|ffn_activation_core|ffn_projection_style|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|tie_embeddings_default|window_schedule_detail;minicpm:attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|laurel|output_head_connection|positional_encoding|residual_scheme|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,gpt_bigcode,2022-12-22,433,26,0.4500,0.4500,9,20,0,0,0.4000,phi:9;gpt_bigcode:8;bitnet:2;minicpm:1
cohere,2024-03-11,2024-03-11,exact_day,20,51,phi,2023-06-15,270,25,2,48,3,4.00,4.80,3.00,11.80,12.70,0.90,qk_norm|qk_norm_detail|uses_logit_scale,llama:attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|stack_topology|tie_embeddings_default|windowed_rope_scope;phi:altup|attention_family|attention_pattern|attention_projection|block_norm_variant|cross_layer_kv_sharing|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|ngram_memory|norm_scheme|q_lora_present|residual_scheme|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail,phi,2023-06-15,270,25,0.3000,0.3000,6,20,1,1,0.3000,phi:6;llama:4;stablelm:4;bitnet:2;gemma:1;gpt2:1;mixtral:1;plamo:1
dbrx,2024-03-27,2024-03-27,exact_day,21,60,phixtral,2024-01-08,79,28,2,60,0,4.00,6.00,0.00,10.00,10.00,0.00,,minicpm:altup|attention_family|attention_output_gating|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|output_head_connection|positional_encoding|qk_norm|rglru_recurrence|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;phixtral:attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|lm_head_bias|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|router_activation|tie_embeddings_configurable|tie_embeddings_default|zero_expert_option,minicpm,2024-02-01,55,32,0.7500,0.7500,15,20,1,0,0.0500,phixtral:15;qwen:2;deepseek:1;minicpm:1;stablelm:1
jamba,2024-03-28,2024-03-28,exact_day,22,55,mamba,2023-12-01,118,43,2,48,7,4.00,4.80,7.00,15.80,15.80,0.00,stack_topology|attention_family|kv_layout|attention_pattern|hybrid_block_schedule|moe_schedule_type|moe_subtype,deepseek:attention_projection|ffn_core|has_moe|moe_distribution|router_activation;mamba:altup|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option,mamba,2023-12-01,118,43,0.8000,0.8000,16,20,1,1,0.8000,mamba:16;starcoder2:3;deepseek:1
