donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits
deepseek,deepseek_v2,2024-01-08,2024-05-06,119,1,55,altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
gpt2,phi3small,2019-02-14,2024-05-07,1909,1,47,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
mamba,mamba2,2023-12-01,2024-05-31,182,1,40,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail
llama,glm,2023-02-27,2024-06-05,464,1,25,altup|attention_family|attention_projection|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_activation_core|gated_delta_net|has_aux_silu_gate|hybrid_block_schedule|kv_reuse_attention|laurel|modality|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_partition_detail|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope
phi3small,glm,2024-05-07,2024-06-05,29,0,24,attention_output_gating|attention_pattern|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|kv_lora_present|lm_head_bias|ngram_memory|optional_nope|positional_encoding|residual_scheme|residual_update_rule|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_softcap|window_schedule_detail
llama,qwen2,2023-02-27,2024-06-07,466,1,26,attention_projection|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|kv_lora_present|laurel|modality|norm_scheme|optional_nope|positional_encoding|q_lora_present|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|tie_embeddings_configurable|tie_embeddings_default|windowed_rope_scope
qwen,qwen2,2023-08-03,2024-06-07,309,0,24,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|ffn_core|gated_delta_net|has_moe|hybrid_block_schedule|kv_reuse_attention|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_update_rule|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail
mixtral,qwen2_moe,2023-12-11,2024-06-07,179,1,36,altup|attention_pattern|bitlinear_weights|block_norm_variant|coefficient_mix_shared_routed|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|grouped_expert_selection|has_moe|hybrid_block_schedule|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|optional_nope|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
recurrent_gemma,qwen2_moe,2024-04-06,2024-06-07,62,0,23,attention_family|attention_output_gating|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|kv_lora_present|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|router_activation_configurable|same_block_attention_ssm|tie_embeddings_default
glm,glm4,2024-06-05,2024-06-18,13,1,26,bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|uses_logit_scale
